ProjectID,TaskDescription
307,Main
308,Main
308,office & foyer wallpaper
309,Main
310,Main
311,Main
311,"2018, 501 Connolly"
311,2nd Kit. renov on Carrolton
311,Electrical Plan
311,kitchen On Carrolton
312,Main
313,Main
314,Main
314,Cabinet & Trench Drain
314,"Carpet, Hall Bath Tile"
314,"LED,hdwr,HallTile,Scribe"
315,Main
316,Main
317,Main
318,Main
319,Main
320,Main
321,Main
322,Main
322,Bathroom '19
323,Main
324,Main
325,Main
326,Main
326,2018 consulting
327,Main
328,Main
329,Main
329,Add. ?'s from Wayne B4 Install
330,Main
331,Main
331,downstairs bath
332,Main
333,Main
334,Main
334,"overlays, hardw, consult"
334,"plbg, hardware"
334,undercounter lights
335,Main
336,Main
337,Main
338,Main
338,2014 Invoicing
338,2015 consultg
338,2016 Consulting
338,2017 Florida Home
339,Main
340,Main
340,Guest Bath
341,Main
342,Main
343,Main
343,3rd floor bath
343,Pantry
343,John Chapman consult
343,PANTRY/3RD Floor Bath
344,Main
345,Main
346,Main
347,Main
348,Main
348,bathrooms-2nd floor
348,kitchen floor
349,Main
350,Main
351,Main
352,Main
353,Main
354,Main
355,Main
356,Main
357,Main
358,Main
359,Newoffice/barn
360,Main
361,Main
362,Main
362,Toilet seat
363,Main
364,Main
365,Main
366,Main
366,Bookcases
366,Counters
366,Kitchen
366,Trim moulding
367,Main
368,Main
369,Main
370,Main
371,Main
371,18 Consulting
371,Michigan House
372,Main
372,Armoire
372,Kitchen
372,Kitchen add-ons
373,Main
374,Main
374,new addition
374,New Location
374,Stain
375,Main
376,Main
376,ESTIMATEwhole house products
376,Materials to order
377,Painter TEST
378,Main
379,Main
380,Main
381,Main
382,Main
382,LED lighting
383,Main
383,Doug/ Backcharges
383,Furnishings
383,TV elect./Rug
384,Main
385,Main
386,Main
386,kitchen
387,Main
388,Main
389,Main
390,Main
390,base shoe
391,Main
391,Hardware
391,"Kitchen Tops, LED Lights"
391,kitchen countertops
391,Remainder of Kit. '19
392,Main
393,Main
394,Main
395,Main
395,underctr lts
396,Main
397,Main
398,Main
399,Main
400,Main
401,Main
402,Main
402,Master Bath
402,insurance
403,Main
404,Main
405,Main
406,Main
407,Main
408,Main
409,Main
410,Main
410,"Kock, Iwamasa"
411,Main
412,Main
413,Main
414,Main
415,Main
416,Main
417,Main
418,Main
419,Main
420,Main
421,Main
422,Main
422,Bathroom
423,Main
424,Main
425,Main
426,Main
427,Main
428,Main
429,Main
430,Main
431,Main
432,Main
433,Main
434,Main
434,2017 Rest of kitchen
435,Main
435,Entertainment Ctr
435,Job 1
436,Main
436,Bath Cont. 2017
437,Main
437,2nd kitchen sink
437,basement paint color
437,Living Room
438,Main
439,Main
440,Main
440,Bentinganan
441,Main
441,20 Consulting
442,Main
443,Main
444,Main
445,Main
446,Main
447,Main
447,Consulting
448,Main
449,Main
450,Main
450,"Back Bathroom, Living Room"
451,Main
452,Main
453,Main
454,Main
455,Main
456,Main
457,Main
458,Main
459,Main
459,Table Top Repair
460,Main
461,Main
462,Main
462,Island Rangehood Consultation
462,University Place
463,Main
464,Main
465,Main
466,Main
467,Main
467,2017 Perimeter Rooms
468,Main
469,Main
470,Main
471,Main
472,Main
473,Main
473,Dr. Hendrickson's Old Office-Hwy 26
473,Faith Senior Clubhouse
473,Blinds & Accessories
473,Clbhs Landscaping/2nd Art
473,Furniture/MTG Room
473,Faith Senior Living
473,additional furniture
473,Client Review Mtg's.
473,Furniture
473,Single Chair
474,Main
475,Main
476,Main
477,Main
478,Main
479,Main
480,Main
481,Main
482,Main
483,Main
484,Main
484,"Basement, new house"
484,Farm Kitchen
484,Paahlburg Condo
485,Main
486,Main
487,Main
488,Main
489,Main
489,Office Remodel
490,Main
491,Main
491,Kitchen In Carmel
492,Main
492,17 Bathrooms
492,2019 Kitchen Tops
492,additional parts'19 Kit.
492,Floor Covering
492,Ki9tchen Plans '19
492,Kitchen
492,"Kitchen, 2018"
492,"Kitchen, 2019"
492,Lighting Plan for Kit. 2018
492,Master Bath
492,"Flooring, Granite, Move Wall"
492,Pantry- 2019
493,Main
493,Green replcmt panel
493,"Hahn, Linden-Fun. home"
493,McSpadden DW panel
493,O'Dell
493,presold
493,Pre-sold 2001
493,"Skiles, Greg & Pam"
493,Szendrey
494,Main
494,Kitchen Consulting '20
495,Main
496,Main
497,Main
498,Main
499,Main
500,Main
501,Main
502,Main
503,Main
504,Main
504,Master Bath-new house
505,Main
506,Main
507,Main
508,Main
509,Main
510,Main
511,Main
512,Main
513,Main
513,bal of '19 project=Billed in '20
513,bal. of '19 consulting
513,Vanities invoice
514,Main
515,Main
516,Main
517,Main
518,Main
519,Main
520,Main
521,Main
522,Main
523,Main
524,Main
525,Main
526,Main
527,Main
528,Main
529,Main
530,Main
531,Main
532,Main
533,Main
534,Main
535,Main
536,Main
537,Main
538,Main
539,Main
540,Main
541,Main
542,Main
542,"closet drawings, warehouse storage"
542,Kitchen
543,Main
543,2016 Project
543,Mantle
543,Eric's Plumbg Fxt
543,Plumbing fixtures
543,Eric's Bathroom
544,Main
545,Main
546,Main
547,Main
547,17 Greenwood house
547,"18, Contin. of paint in '17"
547,paint 2010
547,Under ctr.Lighting
548,Main
549,Main
550,Main
